latitude,longitude,elevation,name
48.02088,-2.17719,0,p1
48.02078,-2.17733,0,p2
48.02073,-2.17740,0,p3
48.02064,-2.17751,0,p4
48.02060,-2.17758,0,p5
48.02054,-2.17768,0,p6
48.02046,-2.17779,0,p7
48.02036,-2.17795,0,p8
48.02029,-2.17809,0,p9
48.02020,-2.17821,0,p10
48.02013,-2.17829,0,p11
48.02001,-2.17825,0,p12
48.01993,-2.17821,0,p13
48.01977,-2.17815,0,p14
48.01960,-2.17829,0,p15
48.01941,-2.17831,0,p16
48.01929,-2.17833,0,p17
48.01918,-2.17829,0,p18
48.01909,-2.17821,0,p19
48.01906,-2.17804,0,p20
48.01858,-2.17776,0,p21
48.01811,-2.17744,0,p22
48.01751,-2.17711,0,p23
48.01727,-2.17692,0,p24
48.01625,-2.17596,0,p25
